target_patient,model,selection_population,rank,channel,selected_channels,validation_cross_entropy,validation_auprc,validation_brier
PN06,P,personalized_training_events,2,F4,"FC6, F4",0.6366381584297368,0.3290712488506859,0.2230979070747496
PN06,P,personalized_training_events,3,O2,"FC6, F4, O2",0.637136711820277,0.167217204410876,0.21997889548008995
PN06,P,personalized_training_events,4,FP2,"FC6, F4, O2, FP2",0.655093440914001,0.16520516073796482,0.22931902023903217
PN06,P,personalized_training_events,5,C4,"FC6, F4, O2, FP2, C4",0.6627460495569872,0.14351191820148104,0.233250880806732
PN06,P,personalized_training_events,6,F10,"FC6, F4, O2, FP2, C4, F10",0.6717121962187534,0.14051718775642238,0.23697413752357588
PN06,P,personalized_training_events,7,CP1,"FC6, F4, O2, FP2, C4, F10, CP1",0.6779032902618737,0.12885701754608972,0.2394059408827744
PN06,P,personalized_training_events,8,T4,"FC6, F4, O2, FP2, C4, F10, CP1, T4",0.6836291144318768,0.12940171423466043,0.24150296415760253
PN06,P,personalized_training_events,9,FZ,"FC6, F4, O2, FP2, C4, F10, CP1, T4, FZ",0.6904134289363748,0.12295567496607471,0.24582888336988512
PN06,P,personalized_training_events,10,T6,"FC6, F4, O2, FP2, C4, F10, CP1, T4, FZ, T6",0.6952096612628605,0.12040206516367076,0.24748091672268224
PN06,P,personalized_training_events,11,F8,"FC6, F4, O2, FP2, C4, F10, CP1, T4, FZ, T6, F8",0.7007698149402523,0.12311391031466191,0.2506089857666366
PN06,P,personalized_training_events,12,O1,"FC6, F4, O2, FP2, C4, F10, CP1, T4, FZ, T6, F8, O1",0.7060613901658791,0.12096878288065765,0.25252353306323455
PN06,P,personalized_training_events,13,CP6,"FC6, F4, O2, FP2, C4, F10, CP1, T4, FZ, T6, F8, O1, CP6",0.7126774328590416,0.11976481213916004,0.2560329538230379
PN06,P,personalized_training_events,14,P4,"FC6, F4, O2, FP2, C4, F10, CP1, T4, FZ, T6, F8, O1, CP6, P4",0.7186394009828153,0.116087062679546,0.258336528674422
